Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D63,D,D_SOD123,59.6,91.35,90,bottom
D64,D_Rev,D_SOD123_Rev,78.65,91.35,90,bottom
D65,D,D_SOD123,97.7,91.35,90,bottom
D66,D_Rev,D_SOD123_Rev,116.75,91.35,90,bottom
D67,D,D_SOD123,135.8,91.35,90,bottom
D68,D_Rev,D_SOD123_Rev,154.85,91.35,90,bottom
D69,D,D_SOD123,173.9,91.35,90,bottom
D70,D_Rev,D_SOD123_Rev,192.95,91.35,90,bottom
D71,D,D_SOD123,212,91.35,90,bottom
D72,D,D_SOD123,240.575,91.35,90,bottom
D73,D,D_SOD123,269.15,91.35,90,bottom
D74,D_Rev,D_SOD123_Rev,288.2,91.35,90,bottom
D75,D,D_SOD123,4.83125,110.4,90,bottom
D76,D_Rev,D_SOD123_Rev,28.64375,110.4,90,bottom
D77,D,D_SOD123,52.45625,110.4,90,bottom
D78,D_Rev,D_SOD123_Rev,116.75,110.4,90,bottom
D79,D_Rev,D_SOD123_Rev,181.04375,110.4,90,bottom
D80,D,D_SOD123,204.85625,110.4,90,bottom
D81,D,D_SOD123,228.66875,110.4,90,bottom
D82,D_Rev,D_SOD123_Rev,250.1,110.4,90,bottom
D83,D,D_SOD123,269.15,110.4,90,bottom
D84,D_Rev,D_SOD123_Rev,288.2,110.4,90,bottom
J3,Conn_01x05,PinHeader_1x05_P2.00mm_Vertical,-12.85,25.65,-90,bottom
LED1,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,9.65,4.35,0,bottom
LED2,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,28.7,4.35,0,bottom
LED3,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,47.75,4.35,0,bottom
LED4,SK6812MINI-E_Rev,LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm,66.8,4.35,0,bottom
